District,Total_Population,Total_Pop_Citizenship,US_Born_Citizen,US_Territory_Born_Citizen,US_Born_Abroad_Citizen,Naturalized_Citizen,Non_Citizen,Total_Pop_Birth,Native_Born,Foreign_Born,Total_Foreign_Born,Entered_2010_Later,Entered_2000_2009,Entered_Before_2000,Pop_5Years_Over,English_Only,Spanish_Speaker,Indo_European_Lang,Asian_Pacific_Lang,Other_Languages,White_Alone,Black_Alone,Native_American_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Total_Male,Male_Under_5,Male_5_9,Male_10_14,Male_15_17,Male_18_19,Male_20,Male_21,Male_22_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_61,Male_62_64,Male_65_66,Male_67_69,Male_70_74,Male_75_79,Male_80_84,Male_85_Over,Total_Female,Female_Under_5,Female_5_9,Female_10_14,Female_15_17,Female_18_19,Female_20,Female_21,Female_22_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_61,Female_62_64,Female_65_66,Female_67_69,Female_70_74,Female_75_79,Female_80_84,Female_85_Over,Median_Household_Income,Total_Households_Income,Income_Less_10000,Income_10000_14999,Income_15000_19999,Income_20000_24999,Income_25000_29999,Income_30000_34999,Income_35000_39999,Income_40000_44999,Income_45000_49999,Income_50000_59999,Income_60000_74999,Income_75000_99999,Income_100000_124999,Income_125000_149999,Income_150000_199999,Income_200000_Plus,Total_Pop_Poverty,Below_Poverty_Level,Pop_25_Over,No_Schooling,Nursery_School,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12_No_Diploma,High_School_Diploma,GED,Some_College_Less_1yr,Some_College_1yr_Plus,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctorate_Degree,Total_Households,Family_Households,Married_Couple_Family,Other_Family,Nonfamily_Households,Living_Alone,Not_Living_Alone,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Total_Housing_Units,Owner_Occupied,Renter_Occupied,Workers_16_Over,Commute_Car,Commute_Public_Transit,Commute_Bicycle,Commute_Walk,Work_From_Home,Total_Households_Internet,Has_Internet,No_Internet,Year,Dist_clean
"Congressional District 8 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:08",717789,717789,506357,3580,5585,94746,107521,717789,515522,202267,211432,34069,55767,28979,672198.0,380057.0,160367.0,1431.0,0.0,5298.0,465992,33339,2737,92202,169,102625,20725,210817,362008,23180,28083,22821,15504,8386,3724,4983,14025,27105,25704,26025,27017,24809,25062,24223,8186,12826,7339,8349,10002,5823,5020,3812,355781,22411,24297,22667,14613,7268,3135,3217,11705,24590,26311,26732,25223,22821,24525,21604,10140,13815,6644,8787,12257,8737,6862,7420,67745,253677,11806,7352,8817,10151,10222,11911,9868,10462,8101,22017,27203,38934,29603,16784,17680,12766,712250,80916,487770,8628,208,111,351,444,2457,1764,2669,10834,1720,10403,5543,6271,7290,9777,114277,12781,28223,71370,33721,106702,43001,6147,3078,253677,175620,129832,45788,14230,31558,78057,393589,393346,373713,19633,253677,167872,85805,367188,328039,12576,1042,5714,14813,253677,220221,28406,2016,8
"Congressional District 10 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:10",710610,710610,527761,2292,6246,84537,89774,710610,536299,174311,182849,28650,45850,24048,664549.0,427168.0,124452.0,2247.0,462.0,1241.0,505898,48352,1274,80123,310,56158,18495,159809,351902,23080,22837,25739,15352,11016,5642,4718,15958,22652,23569,22456,24283,23950,23771,21587,9601,11497,7130,9326,11253,7561,3956,4968,358708,22981,22331,24353,17187,8769,4196,4199,14280,17186,22346,20569,25944,25154,24731,26012,10750,11533,6987,11402,11474,8299,7686,10339,74971,251252,11746,7660,8431,10527,7790,10431,9486,10022,8103,17742,23731,31065,24065,15533,21964,32956,691674,62028,467972,6307,143,243,90,503,1210,1479,2046,7630,1677,5833,5175,5159,5615,6647,89920,10274,25722,57023,29108,117347,63883,17155,7783,251252,177378,140375,37003,9966,27037,73874,383566,373464,353897,19567,251252,174621,76631,358154,304752,16244,1307,10063,22998,251252,219223,26699,2016,10
"Congressional District 13 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:13",704699,704699,665226,267,3780,11900,23526,704699,669273,35426,39473,16503,8597,2110,,,,,,,573421,77940,1376,27069,370,3212,21311,23987,348787,19375,20403,19243,11872,15501,8672,7513,21847,25577,22153,20840,19798,20766,22834,22471,10208,12610,6782,9136,11812,8933,5514,4927,355912,18184,18849,18070,11669,16356,9169,7821,17867,24955,21649,19525,18921,20452,21777,23761,9455,14661,8426,10150,13927,9841,8294,12133,49758,283971,26692,14822,14456,16561,15033,15082,13796,15000,11011,22910,26888,34051,22196,13235,11764,10474,665081,112585,462288,2793,0,30,15,28,48,194,150,232,604,5590,4201,7646,8156,5525,118064,20511,38454,68197,42057,81266,38825,9208,10494,283971,165804,120954,44850,13049,31801,118167,358101,357617,337195,20422,283971,183057,100914,332721,285761,11009,3859,14098,13843,283971,229017,42263,2016,13
"Congressional District 15 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:15",700549,700549,685751,418,2690,5233,6457,700549,688859,11690,14798,2409,2920,1398,,,,,,,648770,31367,1693,4540,251,3811,10117,18784,347422,20765,23841,21567,13724,8989,2992,4275,13202,23693,21774,22457,20498,21792,23680,23491,10050,14437,8274,11418,13469,9585,7783,5666,353127,20590,22535,22418,13346,8557,4598,3904,11608,21271,19178,21330,21034,20289,24136,25341,9130,14287,7712,12436,15304,12603,8579,12941,49927,275299,21027,14887,16238,16847,12904,15879,14154,13690,12182,21126,29394,38013,21462,11488,9535,6473,673463,95351,483638,3215,10,274,77,22,177,355,238,1417,1115,10893,5224,11206,10850,5252,136935,27934,40413,74706,55646,63579,28169,3557,2374,275299,179339,139120,40219,11260,28959,95960,331918,331648,313288,18360,275299,206981,68318,307415,280690,1562,1015,6959,14664,275299,210333,57439,2016,15
"Congressional District 18 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:18",713402,713402,681209,571,2916,11469,17237,713402,684696,28706,32193,8700,8854,1525,,,,,,,647359,29237,1599,18309,60,4098,12740,20093,351634,19353,23843,22714,14726,10391,4136,4115,13350,22086,20843,22370,22349,22542,24336,24862,9529,13415,8806,11194,13859,9474,7431,5910,361768,20578,21242,21748,14880,9771,4559,3601,13210,19546,20390,23500,21666,22452,24967,25116,10029,13997,8461,12276,16278,12330,8266,12905,60857,283990,13537,10680,11859,12893,13774,12514,12155,14212,12672,25479,29185,39960,27953,15519,17615,13983,690732,66013,491185,3269,70,138,25,41,500,256,472,492,261,4863,3601,6381,8403,4698,129918,19591,39745,68305,44561,100258,39135,9219,6983,283990,190910,152385,38525,10564,27961,93080,360230,359988,341881,18107,283990,215324,68666,336438,310230,1467,1117,6544,15250,283990,232151,44320,2016,18
"Congressional District 1 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:01",691474,691474,635267,1367,2930,26729,25181,691474,639564,51910,56207,8531,13053,6181,,,,,,,292771,345746,806,12254,127,26617,13153,72236,322348,18517,20355,23460,13480,9800,4408,5067,12750,24108,21218,17591,20537,19506,24719,24509,8540,12675,5602,7772,11356,7848,5037,3493,369126,18944,17686,24342,13480,10624,5358,5996,14724,25018,22623,20330,21470,24603,27484,27065,10437,12299,8305,10855,17045,11410,8856,10172,50523,265181,30999,14691,15579,13542,12135,13833,12350,9696,8648,15637,26033,30224,23663,13773,13293,11085,680474,118476,472483,5159,0,0,42,524,699,875,1044,2816,1588,7482,4471,8021,10533,9694,110925,14504,27566,90365,39527,81301,39376,8937,7034,265181,159249,95153,64096,12147,51949,105932,346903,346903,312478,34425,265181,158549,106632,305183,228910,51961,1545,7453,12014,265181,206705,50885,2016,1
"Congressional District 2 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:02",713917,713917,656293,1506,2766,27168,26184,713917,660565,53352,57624,5679,13559,7156,,,,,,,264797,406653,621,5436,165,23507,12738,99610,334166,22777,22210,25935,15046,9939,6496,5786,16761,20565,18774,19482,20987,20350,22510,22596,8321,11213,6732,8760,11984,7744,4690,4508,379751,22170,24763,23591,17201,10246,5612,5313,16476,24040,19694,23385,23099,25316,26674,26145,10761,13573,10076,11651,13017,10471,8023,8454,48417,263915,29899,13922,14746,15498,12919,13629,11233,12494,11162,22859,26427,32147,20356,11450,9448,5726,703137,134525,463595,5479,0,229,175,344,1169,1497,1683,5447,559,5919,6631,8655,11604,11566,109979,17926,32721,96315,37504,66729,32674,5300,3490,263915,166338,92612,73726,17456,56270,97577,353687,353591,307815,45776,263915,161062,102853,300249,235508,41666,198,5034,12894,263915,209217,49659,2016,2
"Congressional District 4 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:04",695098,695098,438547,18146,5608,90759,142038,695098,462301,232797,256551,25018,53115,49410,,,,,,,385144,26083,4398,25740,290,235506,17937,487383,352478,27202,25852,23430,14333,8890,4271,5162,15148,33815,29849,30759,24529,23876,20736,19227,7721,7972,4621,5663,8545,5206,3296,2375,342620,22484,23454,24242,16080,8361,3684,4723,16145,31434,29317,28195,22029,21905,19862,19346,6725,8752,5858,7343,8183,5699,4032,4767,51383,223350,12557,11511,11612,12831,10624,12050,15012,11430,9929,19098,20420,29235,17705,10359,10267,8710,690682,114251,451637,14891,216,178,664,4323,2058,3243,3040,31503,2663,14249,9505,10478,10539,13915,107822,16800,16113,53143,25635,75181,27630,5388,2460,223350,152761,99615,53146,16254,36892,70589,370848,370765,346780,23985,223350,101920,121430,339911,240653,66478,7681,10696,10078,223350,173296,38906,2016,4
"Congressional District 6 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:06",722323,722323,609513,1256,5301,67738,38515,722323,616070,106253,112810,16689,25783,6727,681982.0,547200.0,43776.0,2176.0,77.0,1699.0,599312,19108,684,65830,193,16399,20797,67177,353209,21133,20983,23904,17024,9149,4576,4117,12851,20512,23520,22772,20614,25984,28172,28139,10497,12657,6582,9940,12038,7127,5743,5175,369114,19208,23440,25048,16817,8797,4397,3460,12887,18612,22787,21497,19279,26278,32645,29410,11708,13707,8338,11728,14283,8021,7089,9678,97387,262303,8717,5502,6277,6251,6846,9065,7985,9511,6901,14132,19950,33244,34187,22385,27784,43566,712132,33780,494532,4172,110,33,44,0,514,140,1217,1389,637,2234,2287,3630,3059,5587,70869,9022,29475,65563,36461,160506,73203,16697,7683,262303,186300,158258,28042,7474,20568,76003,398397,398207,382811,15396,262303,204599,57704,375732,311509,24958,1616,5142,29878,262303,241239,17583,2016,6
"Congressional District 7 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:07",723481,723481,614174,4412,5140,40807,58948,723481,623726,99755,109307,24111,27911,10297,,,,,,,256647,341264,1315,53760,650,53663,16182,119971,343743,22064,20499,18224,12630,9704,5221,5326,17593,36337,35172,24344,21746,21506,19451,19083,7821,10395,6158,8715,8853,5783,3926,3192,379738,22066,19313,19933,11027,8565,4242,5865,20106,37543,37051,26981,25792,25008,19650,24893,9584,11518,7374,9339,12686,9814,6306,5082,54147,295886,37093,16369,16380,16091,12172,11653,8347,10125,8939,19226,23147,29283,23154,15823,20781,27303,696266,156424,501103,5954,0,136,367,1090,808,1088,1353,6427,1683,7372,6706,11253,15894,8935,103403,14575,20927,65458,23844,112564,59880,20950,10436,295886,148364,80586,67778,12810,54968,147522,383258,383023,347246,35777,295886,118090,177796,340757,178967,80340,4503,45937,20673,295886,221876,55884,2016,7
"Congressional District 9 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:09",724071,724071,531212,2437,7107,108958,74357,724071,540756,183315,192859,35926,45063,14155,681931.0,443010.0,61439.0,4702.0,1402.0,4034.0,514493,72697,2369,93906,213,17837,22556,78549,350566,20904,22525,21099,13890,7897,2891,3659,12180,24371,25746,22530,25690,22425,26622,24750,9132,13029,7158,10351,11562,8917,6220,7018,373505,21236,21030,20394,14526,9921,3986,3734,12300,24292,25669,25673,23930,22197,24204,25885,10961,14331,8888,9686,13827,10817,10161,15857,67084,286837,21391,12669,11776,11930,11503,9851,9856,11648,10122,19992,25075,32126,26480,15816,24018,32584,704366,86078,511899,6509,61,364,54,522,976,1029,1991,3904,1100,5052,3676,5664,6157,9320,71416,10237,20687,62364,28623,156475,80158,21649,13911,286837,167710,132405,35305,10395,24910,119127,374355,374147,358829,15318,286837,169991,116846,354120,233579,72270,5538,14072,23091,286837,239621,34766,2016,9
"Congressional District 11 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:11",730480,730480,587857,3856,4398,60977,73392,730480,596111,134369,142623,19655,39681,20521,682230.0,465218.0,145573.0,1230.0,99.0,1184.0,478688,77608,2646,62504,171,84802,24061,196939,357773,24793,23942,28158,17669,9288,4633,5329,16559,22536,23024,25861,26596,25964,25905,19781,9262,10094,5715,7849,10092,6484,4511,3728,372707,23457,26872,27010,15149,10649,5901,3789,15659,22986,24528,26589,28102,27575,23682,22604,6938,13349,6114,8976,12410,8216,5845,6307,72198,251942,10514,7526,9158,9328,8749,9993,10132,10675,11037,16850,26014,35969,29624,16674,22146,17553,723223,66557,471623,7714,137,31,286,750,2815,1465,2219,10521,1545,6617,4660,5123,6070,8896,91910,15253,30571,67860,37336,106110,50142,8379,5213,251942,178255,132156,46099,11828,34271,73687,391241,391026,371550,19476,251942,179600,72342,362481,320557,15108,639,3914,18765,251942,223113,24388,2016,11
"Congressional District 17 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:17",691212,691212,655064,964,3854,11303,20027,691212,659882,31330,36148,6761,9864,4243,,,,,,,565738,80747,1761,10007,436,10919,21604,64640,340563,22283,22295,22418,12439,9832,4983,5231,12411,21530,21519,20470,20342,20600,23198,23928,11138,11723,8580,11462,12120,7812,5426,5528,350482,19810,19635,21842,14217,7511,4466,4490,12321,22721,23224,20286,20153,21683,24915,24512,10531,13779,8265,10878,15796,9793,8786,10868,47430,277601,24141,16420,16876,17368,13572,15858,15519,12902,12428,20066,26708,31003,23537,13714,10330,7159,669553,109942,477135,2497,242,133,66,689,655,1069,765,2205,1478,5041,7370,12705,15038,7861,131747,27426,45052,75843,43457,59898,21263,4300,2582,283430,173811,121893,51918,13398,38520,109619,338177,337813,311588,26225,283430,184814,98616,305737,278104,5074,956,8356,9432,283430,218692,56487,2016,17
"Congressional District 12 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:12",693736,693736,669296,686,4446,9452,9856,693736,674428,19308,24440,5746,5430,1542,,,,,,,541201,117759,1092,10412,200,6030,17042,23528,343254,22740,22737,21001,14020,8692,4699,4014,14406,23352,23054,22419,20789,23303,22429,23787,9076,13625,7274,10306,12765,5429,4004,4014,367987,19443,25733,28103,16889,7896,4749,5264,11607,16868,20976,23687,28225,28622,29448,24656,10388,13470,7781,9547,12894,10404,4588,6749,90345,250357,10876,5390,6356,6542,7059,6536,7156,8835,6598,15873,21552,38209,28731,21162,30182,29300,731392,48781,480043,2464,10,25,82,65,286,397,325,1078,1126,6437,6475,9571,12489,6154,118334,28481,39323,80219,49475,68519,34829,6435,4503,277601,174842,120716,54126,14263,39863,102759,329972,325670,303395,22275,277601,184914,92687,302014,273429,6240,1121,6654,11032,277601,210533,56262,2016,12
"Congressional District 14 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:14",736397,736397,655719,983,5594,44586,29515,736397,662296,74101,80678,8376,22635,7938,,,,,,,636375,25846,1422,33119,414,23337,15884,93109,368410,22194,27298,33974,19451,10788,5595,4349,13021,17402,21472,21306,25346,29339,27602,27304,7550,13580,7300,7846,12246,9669,6600,5135,344736,16636,19734,21554,14440,8834,4944,3705,13511,18632,19527,19467,22088,22586,24571,23519,9898,14105,8155,11266,16177,10587,9607,11193,57182,270748,13911,13139,11546,13119,14070,14826,11890,13835,11181,23393,30929,37146,25002,15024,12658,9079,667192,82616,472433,2512,0,18,170,207,249,365,1856,3678,798,3737,3414,4882,3930,6295,91184,12526,35017,66168,40985,129455,57625,7842,7178,250357,191132,157445,33687,9882,23805,59225,396443,396174,376906,19268,250357,199652,50705,371275,329277,10050,553,3214,26413,250357,230072,18141,2016,14
"Congressional District 16 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:16",687998,687998,649593,1221,3367,17486,16331,687998,654181,33817,38405,4302,8425,5171,,,,,,,623579,23523,848,9120,256,15228,15444,64186,343262,18427,23157,22175,14809,8862,5439,4568,14770,19986,19411,21345,21185,22078,24210,24928,9159,14198,7702,11182,14267,10691,6097,5273,350649,20134,19737,21415,13692,9388,5026,4730,13817,21495,20093,19280,19478,21368,22419,25656,10641,13496,8043,12932,15314,11329,9129,12037,45360,283430,25032,18304,18913,18766,14690,15208,15559,14091,12799,24518,29836,32148,19604,10831,7711,5420,667990,121273,471381,4496,0,161,191,362,591,95,583,1616,956,4692,5463,8543,12109,8850,135104,23102,42408,72714,47613,65897,29442,5884,3545,270748,185869,141091,44778,13417,31361,84879,352314,352022,329425,22597,270748,193477,77271,324205,297177,1370,1588,6284,14753,270748,227792,37003,2016,16
"Congressional District 1 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:01",706550,706550,643062,471,6298,27214,29505,706550,649831,56719,63488,13921,15136,5662,,,,,,,303613,354097,301,17443,103,19255,11738,75300,333301,18196,21751,24338,14361,9270,4695,5668,15456,22978,23436,19043,20942,22829,20444,21307,9962,13076,7236,9086,10207,9707,5192,4121,373249,22652,18271,21452,13615,9729,5634,4356,13361,25751,24447,22282,22241,24727,23465,27772,11081,15101,9290,11431,14712,12811,8364,10704,55969,269599,27773,13406,12525,13328,11318,13037,10335,11014,10235,18260,29601,28735,25465,15698,15438,13431,695232,114912,483745,5708,284,265,107,192,424,397,649,2002,1590,4920,2402,6360,12140,10603,112051,18536,35090,85472,40289,85833,42071,7494,8866,269599,163755,91068,72687,14344,58343,105844,360460,360357,324630,35727,269599,161445,108154,315657,235869,53279,1657,8065,13556,269599,222530,40023,2018,1
"Congressional District 7 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:07",707513,707513,601126,4912,4478,44358,52639,707513,610516,96997,106387,29802,20747,8207,,,,,,,264669,323450,1095,52122,148,48385,17644,124242,341185,20167,19638,19519,9882,8605,4603,4194,16870,39183,36210,26241,20456,19862,18312,19206,7768,9565,5308,9779,11521,8249,3207,2840,366328,19809,18616,17064,9475,10087,4592,5490,16924,39860,32658,26441,20777,22325,22669,22657,9453,11821,7816,10406,14805,9513,6943,6127,56166,301839,33918,17644,16174,18223,12291,10707,9957,10130,9766,16267,25462,27082,24584,16175,19931,33528,680478,137443,501978,8389,201,209,355,160,524,1657,1033,5220,2188,7053,5080,8496,14627,12072,102136,13746,20365,58840,28310,110752,62539,26341,11685,301839,144286,81990,62296,13748,48548,157553,376267,376128,342422,33706,301839,126479,175360,336736,172979,88231,5531,39882,20575,301839,241715,45629,2018,7
"Congressional District 14 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:14",742235,742235,665406,2386,4570,41368,28505,742235,672362,69873,76829,11290,19440,6086,,,,,,,645869,28485,1023,28809,186,15912,21951,97239,373029,25949,26575,29457,18585,11313,4167,4342,10737,18213,22540,25575,24714,25581,28507,26548,10323,12849,7213,9907,12719,8966,3475,4774,369206,19557,26495,28223,15175,7397,2605,4107,12042,21044,21812,21683,26726,30133,27441,26244,9730,13099,7850,9774,14143,9825,7248,6853,94403,262859,7885,5789,4858,6257,6995,6078,7073,5892,6912,16857,25665,38235,33121,25158,32048,34036,736202,35960,495509,2993,49,166,309,504,368,478,722,1350,1183,2068,2784,3313,4194,6781,101537,12784,35676,65850,44178,127359,61320,11334,8209,262859,202083,169216,32867,11196,21671,60776,398132,398015,383858,14157,262859,217652,45207,377637,330304,11096,552,2762,29423,262859,245775,14395,2018,14
"Congressional District 5 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:05",743699,743699,565501,5199,8902,97513,66584,743699,579602,164097,178198,33729,37021,11985,700467.0,466943.0,94706.0,3078.0,56.0,5367.0,594110,22900,1120,63328,187,35743,26311,138791,367389,22923,19426,19307,9079,6762,3034,3211,18441,43651,39866,29366,25874,23015,21620,20632,8475,11044,6177,9370,10573,6778,4712,4053,376310,20309,16768,16270,11239,6892,3871,4037,18577,42748,39366,29507,23440,23124,21511,22037,8901,13630,7160,9455,12252,8710,6906,9600,87326,304941,14083,7012,7605,11013,10452,10082,7392,9841,9640,18254,26211,38165,30496,22177,31891,50627,733042,61035,543553,7587,94,0,0,440,603,896,1100,4143,909,3476,2657,3899,5932,8904,82226,10781,22381,54212,29461,180700,83456,29979,9717,304941,163569,129280,34289,10990,23299,141372,457044,457022,440341,16681,304941,175693,129248,434323,262108,113921,8130,15377,27774,304941,265338,31746,2018,5
"Congressional District 13 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:13",704211,704211,659393,448,4513,14671,25186,704211,664354,39857,44818,19337,8316,2590,,,,,,,570733,77759,1086,31373,0,5983,17277,26122,348155,20184,18682,21150,13277,17223,8826,10110,19729,23721,22833,23100,18681,19226,19558,20564,9109,13732,7267,9432,12966,8869,4707,5209,356056,17929,18756,20707,10408,17616,11052,7581,18276,21716,21330,21088,20883,18189,21150,22647,9309,14373,7522,10374,15670,11250,7297,10933,51401,286809,28252,14303,14314,17051,13033,15196,13270,12783,10527,25609,26637,34457,24385,12344,12786,11862,663915,119512,452705,2630,0,18,0,156,231,49,129,886,908,3959,4150,7849,11444,5990,117991,21977,34120,63574,40812,78170,40124,8865,8673,286809,165940,123046,42894,11831,31063,120869,357058,356604,337795,18809,286809,180115,106694,332596,289519,8827,2121,15528,14077,286809,236929,34670,2018,13
"Congressional District 17 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:17",679926,679926,643766,1115,4490,12134,18421,679926,649371,30555,36160,8334,9896,4810,,,,,,,553346,80141,1776,10393,245,11838,22187,60034,336379,20707,20397,23554,13062,7804,5746,4504,13237,21765,20818,20578,19245,20393,21410,22688,10434,13201,8214,10479,15099,11249,6257,5538,343547,19351,21073,19658,12570,9164,4491,4061,12680,20757,20207,19938,19519,19923,21620,24086,9948,14449,9311,12129,16167,12396,8766,11283,47853,280917,21732,15997,16135,18166,14889,14957,15325,15469,12220,23865,30474,35102,20194,10583,10308,5501,655934,110228,467867,4646,68,160,186,361,626,291,839,2267,1705,5004,6928,9420,10900,8830,132849,29023,45774,70807,46075,61294,23458,4355,2001,280917,169931,119100,50831,13997,36834,110986,330276,330022,307434,22588,280917,187000,93917,302522,278535,3331,1212,6357,10521,280917,229789,44007,2018,17
"Congressional District 6 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:06",730345,730345,612170,1059,6405,68534,42177,730345,619634,110711,118175,21175,26333,7382,690285.0,546585.0,49956.0,1844.0,371.0,2705.0,600898,17193,955,72910,64,18100,20225,73998,360402,20199,24799,24959,16374,9694,2877,4417,12860,19803,20323,22598,22783,25882,26522,27517,10200,15234,8167,11715,13486,9879,5307,4807,369943,19861,22374,24081,16019,8665,2495,2407,11520,19001,19643,24913,22293,23759,30088,30530,10791,15660,9675,11297,15268,12950,8263,8390,101493,270115,9080,4101,4677,8565,5872,6545,7656,7402,7536,14924,21883,32742,34341,20532,35724,48535,720130,39101,506744,3440,103,0,0,143,243,672,857,2212,669,2296,1885,2591,1908,5556,76709,8894,30161,58043,41078,161166,79786,17726,10606,270115,199484,168027,31457,8822,22635,70631,398815,398713,385440,13273,270115,216872,53243,378621,314175,23753,526,5948,31832,270115,252338,14169,2018,6
"Congressional District 10 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:10",711265,711265,518338,3353,6834,98486,84254,711265,528525,182740,192927,36345,47949,18554,669071.0,409992.0,134041.0,1278.0,216.0,1510.0,493441,44334,3364,82379,422,67579,19746,169408,353539,20851,22203,27031,15554,11668,7278,4621,15226,21936,22309,22982,22193,22550,22361,23728,9406,11542,8450,9528,12641,8538,4818,6125,357726,21343,20042,25147,14479,9355,3629,3872,15965,19999,21170,23167,22794,22511,24836,25315,10173,14135,7753,9315,14888,9660,7517,10661,82099,251936,11943,8481,6743,9607,7919,11334,8310,6416,7364,15500,23907,31121,25381,16795,21021,40094,691238,58249,473001,8254,0,392,0,1345,1413,768,1124,7546,1436,5228,4973,3906,5470,8243,84044,13539,26075,50745,27460,125364,64404,20850,10422,251936,177770,141469,36301,10368,25933,74166,377716,370169,352388,17781,251936,174391,77545,352623,299109,18836,769,10249,20844,251936,228479,18789,2018,10
"Congressional District 4 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:04",702062,702062,465995,15940,7096,85793,127238,702062,489031,213031,236067,28142,43221,41934,,,,,,,420391,28977,3538,24719,188,204348,19901,475571,352971,24551,20833,27631,14085,7659,4480,4035,16933,33234,32041,30600,25211,22656,20492,19071,7272,10661,4701,7072,8610,6236,2164,2743,349091,21669,22739,22677,13734,9309,4370,4822,16183,32141,29883,28278,21994,24265,19006,19492,7966,10298,6323,7540,11076,6559,4372,4395,55305,233844,12624,7803,10511,16243,13170,13511,11592,10773,9544,19294,22753,28838,19662,11480,14880,11166,698344,95866,466352,15451,0,64,1066,1751,4423,1790,3815,24188,3495,9051,12217,6575,9073,10604,123441,15405,18988,57890,26076,79511,31905,6217,3356,233844,154753,98331,56422,18606,37816,79091,384474,384233,360885,23348,233844,113623,120221,356058,244032,78537,5788,9327,13011,233844,191261,36017,2018,4
"Congressional District 9 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:09",721481,721481,529772,3386,7977,108774,71572,721481,541135,180346,191709,41544,45313,9523,678013.0,447142.0,58070.0,3632.0,1378.0,4174.0,507446,68026,1847,95553,771,22005,25833,81079,355134,22885,22606,20566,14750,7977,4947,5173,11159,25248,23033,22170,24912,22741,26362,25646,9019,12642,6969,10614,14394,9381,5318,6622,366347,20583,21480,23298,11276,8704,3940,3620,12419,23778,22756,25631,22733,21863,23995,24607,8185,14440,7555,12430,17600,11663,9137,14654,74614,290016,17873,9926,9787,12383,9933,10577,11164,10308,9146,19372,25124,31476,27691,18306,25981,40969,703489,81477,506098,7803,93,359,397,44,1150,1178,992,4008,699,4016,3054,3943,3956,7995,66556,9303,20405,54599,27287,160257,89892,24298,13814,290016,167652,135099,32553,9188,23365,122364,381623,381453,364527,16926,290016,176969,113047,357860,233100,78528,5181,13229,24548,290016,252893,28752,2018,9
"Congressional District 12 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:12",687072,687072,662720,841,6039,8092,9380,687072,669600,17472,24352,7798,3323,967,,,,,,,533450,117582,1329,8924,110,8331,17346,21908,341016,20376,20843,22420,14345,9137,4116,5032,12413,25105,22948,20498,20647,21259,22341,24367,10288,12982,8128,10837,13410,9348,5314,4862,346056,19882,19303,22174,10935,8081,3196,5514,11716,23379,21419,21224,20937,21018,21896,23119,11874,14320,8423,11483,16131,13409,7247,9376,50556,277817,24276,15204,16352,15321,14860,14441,12740,12985,11019,20901,31049,33310,21360,11703,12598,9698,665050,111064,477589,3602,70,0,41,579,159,620,306,1070,1382,6311,5722,11339,12066,7167,117233,25283,44127,74978,52295,66692,36433,6182,3932,277817,171301,120137,51164,13501,37663,106516,333602,330505,310439,20066,277817,184201,93616,308264,285075,4364,1362,6015,8571,277817,220950,47149,2018,12
